lemma,grammar_gloss,meaning_en,meaning_pl
"abonamię, -tu",(n),subscription,abonament
abonat,(m),subscriber,abonent
absoluty,(adj),absolute,absolutny
absurd,(n),absurdity,absurd
administraceń,(f),administration,administracja
administraciwy,(adj),administrative,administracyjny
adres,(m),address,adres
afera,(f),affair,afera
afisz,(n),"poster, bill","afisz, plakat"
afrykany,(adj),African,afrykański
akademia,(f),academy,akademia
akademicy,(adj),academic,akademiczny
akcent,(n),"accent, stress",akcent
akordeon,(m),accordeon,akordeon
akrobat,(m),acrobate,akrobat
aktórz,(m),actor,aktor
aktrzyca,(f),actress,aktorka
aktualtać,(f),actuality,aktualność
aktuały,(adj),actual,aktualny
akuratamięć,(adv),"precisely, exactly",dokładnie
akuraty,(adj),precisely,dokładny
akwadukt,(m),aqueduct,akwedukt
alarm,(n),alarm,alarm
album,(n),album,album
alergia,(f),allergy,alergia
alergicy,(adj),allergic,"alergiczny, uczulony"
alfabet,(m),alphabet,"alfabet, abecadło"
alkohol,(m),alcohol,alkohol
alkoholicy,(adj),alcoholic,alkoholiczny
alkoholik,(m),alcoholic,alkoholik
"alt, -u",(f),alto,alt
alternaciwy,(adj),alternative,alternatywny
alumiń,(n),aluminium,glin
ambasada,(f),embassy,ambasada
ambasadórz,(m),ambassador,ambasador
ambiceń,(f),ambition,ambicja
ambicuzy,(adj),ambitious,ambitny
ambulęca,(f),ambulance,"ambulans, pogotowie"
amen,(intj),amen,amen
amerykany,(adj),American,amerykański
analiza,(f),analysis,analiza
analizar,"(v, 1)",analyse,analizować
anarchista,(m),anarchist,anarchista
angielki,(adj),English,angielski
Anglia,(f),England,Anglia
anonim,(m),anonymous,anonim
anonimy,(adj),anonymous,anonimowy
anty-,(prefix),anti-,anty-
antycy,(adj),antique,antyczny
aparat,(m),apparatus,aparat
apatia,(f),apathy,apatia
apatycy,(adj),apathetic,apatyczny
archeolog,(m),archeologist,archeolog
archeologia,(f),archaeology,archeologia
archeologicy,(adj),archeological,archeologiczny
architekt,(m),architect,architekt
architektera,(f),architecture,architektura
archiwum,(n),archive,archiwum
arciewczały,(adj),artificial,sztuczny
arcybiskup,(m),archbishop,arcybiskup
"argumię, -tu",(n),argument,argument
argumiętar,"(v, 1)",argument,argumentować
armia,(f),army,wojsko
armorzykany,(adj),Armorican (Arvorec),armorykański
arsenik,(n),arsenic,arsen
artykuł,(n),article,artykuł
aspekt,(m),aspect,aspekt
astrolog,(m),astrologist,astrolog
astrologia,(f),astrology,astrologia
astrologicy,(adj),astrological,astrologiczny
astronom,(m),astronomist,astronom
astronomia,(f),astronomy,astronomia
astronomicy,(adj),astronomical,astronomiczny
atak,(m),attack,"atak, napad"
atakar,"(v, 1)",attack,atakować
ateista,(m),atheist,ateista
atom,(n),atom,atom
austriany,(f),Austrian,austriacki
autobus,(m),bus,autobus
autodydakt,(m),autodidact,samouk
autograf,(m),autograph,"podpis, autograf"
automat,(m),automat,automat
automatycy,(adj),automatic,automatyczny
autonomia,(f),autonomy,autonomia
autonomicy,(adj),autonomous,autonomiczny
autostrada,(f),highway,autostrada
awaria,(f),damage,awaria
awariny,(adj),"damage, emergency",awaryjny
awokat,(m),"barrister, lawyer","adwokat, mecenas"
azoc,(n),nitrogen,azot
azurzy,(adj),blue (dark),granatowy
ażęca,(f),agency,agencja
ażęć,(m),agent,agent
bagaż,(n),luggage,bagaż
baja,(f),bay,zatoka
bakanał,(m),bacchanal,bachanal
bakteria,(f),bacterium,bakteria
bałtycy,(adj),Baltic,bałtycki
bałzam,(n),balm,balsam
bandyta,(m),bandite,bandyta
bandytyzm,(n),banditism,bandytyzm
bank,(m),bank,bank
banknot,(m),bank-note,banknot
bar,(m),bar,bar
barba,(f),beard,broda
barbar,(m),barbarian,barbarzyńca
barbarzyny,(adj),barbarian,barbarzyński
barbaty,(adj),bearded,brodaty
barka,(f),boat,łódź
bas,(m),bass,bas
batawy,(adj),Batavian,batawski
baza,(f),base,baza
baż,(n),kiss,pocałunek
bażar,"(v, 2)",kiss,całować
"bdeł, bdłu",(m),louse,wsza
befsztyk,(m),steak,befsztyk
będa,(f),"band, gang",banda
biały,(adj),beautiful,piękny
biar,"(v, irr.)",drink,pić
biejaty,(adj),blissful,błogi
bieltać,(f),beauty,piękno
bieniewkęć,(adj),"beneficient, doing well",dobroczynny
bienini,(adj),benign,"łagodny, dobroczynny"
bienińtać,(f),benignity,"łagodność, dobroczynność"
bień,(adv),well,dobrze
bieńdzikaceń,(f),blessing,błogosławienie
bieńdzikar,"(v, 7)",bless,błogosławiać
bieńwięty,(adj),welcome,mile widziany; witaj!
biera,(f),beer,piwo
bieszcza,(f),beast,bestia
bieszek,(m),"bill, beak",dziób
biewabły,(adj),drinkable,pitny
biewceń,(f),soft drink,napój
bil,(f),gall,żółć
bilet,(m),ticket,bilet
bilęgwały,(adj),bilingual,dwujęzyczny
bimeł,(m),toddler,dziecko w wieku 2-3 lat
biografia,(f),biography,biografia
biograficy,(adj),biographic,biograficzny
biolog,(m),biologist,biolog
biologia,(f),biology,biologia
biologicy,(adj),biological,biologiczny
biszkot,(m),biscuit,herbatnik
biuro,(n),bureau,biuro
biurokracja,(f),bureaucracy,biurokracja
biurokratycy,(adj),bureaucratic,biurokratyczny
biżuteria,(f),jewelry,biżuteria
blasfemar,"(v, 1)",blasphemise,bluźnić
blikwy,(adj),crooked,krzywy
blok,(m),block,blok
błędy,(adj),polite,uprzejmy
błędzer,"(v, 5)",flatter,pochłebiać
bocier,"(v, 7)",hit,"bić, uderzać"
