lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
aktualtać,f,actuality,aktualność,dictionary_steenbergen,any,latin_learned,actualitatem,,,
alkohol,m,alcohol,alkohol,dictionary_steenbergen,any,latin_learned,alcoholum,,,
alkoholik,m,alcoholic,alkoholik,dictionary_steenbergen,any,latin_learned,alcoholicum + is,,,
ambiceń,f,ambition,ambicja,dictionary_steenbergen,any,latin_learned,ambitionem,,,
anarchista,m. I,anarchist,anarchista,dictionary_steenbergen,any,latin_learned,anarchistam,,,
archeolog,m,archeologist,archeolog,dictionary_steenbergen,any,latin_learned,archaeologum,,,
argumiętar,"v, 1",argument,argumentować,dictionary_steenbergen,any,latin_learned,argumentare,,,
astrolog,m,astrologist,astrolog,dictionary_steenbergen,any,latin_learned,astrologum,,,
astronom,m,astronomist,astronom,dictionary_steenbergen,any,latin_learned,astronomum,,,
ateista,m. I,atheist,ateista,dictionary_steenbergen,any,latin_learned,atheistam,,,
autograf,m,autograph,"podpis, autograf",dictionary_steenbergen,any,latin_learned,autographum,,,
bagaż,n,luggage,bagaż,dictionary_steenbergen,any,french,bagage,,,
biolog,m,biologist,biolog,dictionary_steenbergen,any,latin_learned,biologum,,,
biurokracja,f. I,bureaucracy,biurokracja,dictionary_steenbergen,any,french,bureaucratie,,,
bukiet,m,bouquet,bukiet,dictionary_steenbergen,any,french,bouquet,,,
częcień,f,century,"wiek, stulecie",dictionary_steenbergen,any,latin_inherited,*centionem,,,
definiceń,f,definition,definicja,dictionary_steenbergen,any,latin_learned,definitionem,,,
demokracja,f. I,democracy,demokracja,dictionary_steenbergen,any,latin_learned,democratiam,,,
despożyceń,f,disposition,dyspozycja,dictionary_steenbergen,any,latin_learned,dispositionem,,,
dutaceń,f,doubt,wątpliwość,dictionary_steenbergen,any,latin_inherited,dubitationem,,,
dialog,m,dialogue,dialog,dictionary_steenbergen,any,latin_learned,dialogum,,,
dziekłaraceń,f,declaration,deklaracja,dictionary_steenbergen,any,latin_inherited,declarationem,,,
dzieskrzypceń,f,description,opis,dictionary_steenbergen,any,latin_inherited,descriptionem,,,
dzieśpioraceń,f,despair,rozpacz,dictionary_steenbergen,any,latin_inherited,desperationem,,,
egoista,m. I,egoist,egoista,dictionary_steenbergen,any,latin_learned,egoistam,,,
egoizm,m,egoism,egoizm,dictionary_steenbergen,any,latin_learned,egoismum,,,
emoceń,f,emotion,emocja,dictionary_steenbergen,any,latin_learned,emotionem,,,
encięceń,f,intention,zamiar,dictionary_steenbergen,any,latin_inherited,intentionem,,,
enwitaceń,f,invitation,zaproszenie,dictionary_steenbergen,any,latin_inherited,invitationem,,,
dzierzeceń,f,direction,kierunek,dictionary_steenbergen,any,latin_inherited,directionem,,,
etaż,n,floor,piętro,dictionary_steenbergen,any,french,étage,,,
garaż,m,garage,garaż; warsztat,dictionary_steenbergen,any,french,garage,,,
elektronika,f. I,electronics,elektronika,dictionary_steenbergen,any,latin_learned,electronicam,,,
erotyka,f. I,erotics,erotyka,dictionary_steenbergen,any,latin_learned,eroticam,,,
fabryka,f. I,factory,"fabryka, zakład",dictionary_steenbergen,any,latin_learned,fabricam,,,
federaceń,f,federation,federacja,dictionary_steenbergen,any,latin_learned,federationem,,,
fikceń,f,fiction,fikcja,dictionary_steenbergen,any,latin_learned,fictionem,,,
fizyka,f. I,physics,fizyka,dictionary_steenbergen,any,latin_learned,physicam,,,
funkceń,f,function,funkcja,dictionary_steenbergen,any,latin_learned,functionem,,,
geograf,m,geographer,geograf,dictionary_steenbergen,any,latin_learned,geographum,,,
geolog,m,geologist,geolog,dictionary_steenbergen,any,latin_learned,geologum,,,
gramatyka,f. I,grammar,gramatyka,dictionary_steenbergen,any,latin_learned,grammaticam,,,
historycy,adj,historical,historyczny,dictionary_steenbergen,any,latin_learned,historicum + is,,,
historzyca,f. I,story,"historyjka, opowiadanko",dictionary_steenbergen,any,"latin_learned, latin_inherited",,,,zdrobnienie
homofonia,f. I,homophony,homofonia,dictionary_steenbergen,any,latin_learned,homophoniam,,,
homoseksualista,m. I,homosexual,homoseksualista,dictionary_steenbergen,any,latin_learned,homo- + sexualistam,,,
homoseksualtać,f,homosexuality,homoseksualność,dictionary_steenbergen,any,latin_learned,homo- + sexualitatem,,,
